mean_storage_gib,sampled_mean_recovery_token_layers,exact_mean_recovery_token_layers,g,l
4.38758238,74936.02743530,75313.15444485,4933,42
4.38847138,74850.86962891,75300.06623493,4932,42
4.40809994,74750.23202515,75120.54644645,4910,42
4.40899772,74692.91915894,75102.71464429,4909,42
4.40989551,74684.02117920,75088.76648123,4908,42
4.43697022,74661.66842651,74846.08455892,4878,42
4.44515634,74601.56747437,74793.45386655,4869,42
4.45337905,74540.04885864,74659.61153639,4860,42
4.45979156,74485.28802490,74606.25354575,4853,42
4.46071002,74398.33084106,74591.36814663,4852,42
4.47452029,74297.22805786,74453.86457014,4837,42
4.47544469,74046.00592041,74442.36806363,4836,42
4.47636910,74040.56295776,74434.04025596,4835,42
4.49866376,73989.14675903,74218.21342079,4811,42
4.51176295,73960.11767578,74170.25287575,4797,42
4.51646978,73954.12399292,74053.35650364,4792,42
4.51929689,73775.09356689,74014.20026180,4789,42
4.53062850,73774.70556641,73941.22084378,4777,42
4.53251927,73715.27896118,73952.83508416,4775,42
4.53631449,73647.63461304,73886.68610531,4771,42
4.54583142,73554.84732056,73770.12428588,4761,42
4.55346696,73550.62408447,73738.05344695,4753,42
4.56209693,73446.23153687,73598.48656651,4744,42
4.56593896,73273.11959839,73581.05165895,4740,42
4.56690051,73155.19854736,73572.70177830,4739,42
4.59594789,73096.41595459,73315.34870065,4709,42
4.60963224,73062.31378174,73163.80340420,4695,42
4.61159552,72906.56314087,73127.20245580,4693,42
4.63031187,72829.81036377,72956.94669605,4674,42
4.63229072,72554.84106445,72935.98523401,4672,42
4.63328184,72499.94052124,72918.69829330,4671,42
4.65517355,72416.86602783,72708.09129391,4649,42
4.67525405,72349.35238647,72528.52758747,4629,42
4.67727349,72259.02322388,72496.19918980,4627,42
4.68535122,72256.45520020,72507.59052541,4619,42
4.69652727,72219.07678223,72330.63034637,4608,42
4.69754635,72169.22619629,72309.97259003,4607,42
4.69856543,72006.87597656,72294.73135627,4606,42
4.69958451,71874.95593262,72284.34347866,4605,42
4.71184294,71754.50317383,72170.02878397,4593,42
4.74381328,71703.85330200,71869.95545204,4562,42
4.75839379,71702.56832886,71731.10192690,4548,42
4.75943805,71553.16757202,71727.57611642,4547,42
4.76048231,71470.31695557,71726.06891893,4546,42
4.76152803,71234.53790283,71714.78443422,4545,42
4.77727219,71184.27969360,71551.53264447,4530,42
4.78676863,71147.01177979,71465.77737622,4521,42
4.79948844,71046.56604004,71342.55383945,4509,42
4.80055179,71035.14071655,71333.01445099,4508,42
4.81869360,70887.44332886,71178.13434387,4491,42
4.83050998,70778.51257324,71061.15132685,4480,42
4.83913397,70679.02902222,71004.49435551,4472,42
4.85213913,70399.54458618,70860.94662705,4460,42
4.87396304,70378.80206299,70660.89266211,4440,42
4.89377371,70277.76351929,70472.46461854,4422,42
4.89708961,70197.57476807,70461.65599634,4419,42
4.89819491,70180.61886597,70464.88124712,4418,42
4.90595817,70088.82434082,70365.51950248,4411,42
4.90706999,70041.63397217,70349.69700630,4410,42
4.91932062,70000.61972046,70265.18539681,4399,42
4.93163650,69960.74087524,70129.87184113,4388,42
4.93275815,69885.55807495,70126.94291706,4387,42
4.95078902,69869.59576416,69950.07642592,4371,42
4.95192054,69669.55932617,69940.30124670,4370,42
4.96552782,69597.53170776,69887.96390404,4358,42
4.96666461,69548.00469971,69881.16744783,4357,42
4.98838692,69542.06701660,69681.33816766,4338,42
4.98953830,69342.05148315,69644.15658784,4337,42
4.99990409,69282.31539917,69515.28407972,4328,42
5.01146222,69178.95648193,69440.48938351,4318,42
5.02308386,69114.46176147,69299.74225426,4308,42
5.02424858,69052.10855103,69290.39896860,4307,42
5.03709451,68964.56079102,69172.50564049,4296,42
5.04882834,68898.49551392,69092.95129005,4286,42
5.05000311,68870.54733276,69097.26296374,4285,42
5.06890659,68818.99349976,68899.39771960,4269,42
5.07009147,68529.48028564,68899.63289737,4268,42
5.08555939,68469.48541260,68757.56000144,4255,42
5.09272949,68369.79394531,68710.65574034,4249,42
5.10954407,68347.63363647,68530.75759324,4235,42
5.11074927,68319.83178711,68521.38000162,4234,42
5.11195447,68181.10583496,68516.88957511,4233,42
5.13253855,67901.91271973,68330.17513682,4216,42
5.14961290,67753.26199341,68194.51417649,4202,42
5.17544378,67664.55615234,67953.68645731,4181,42
5.19156279,67578.80847168,67819.20535379,4168,42
5.19529731,67237.82745361,67781.88344612,4165,42
5.23167433,67193.60562134,67463.85409615,4136,42
5.23293806,67030.53063965,67453.39428161,4135,42
5.24941420,66972.34976196,67343.19148081,4122,42
