storage_gib,recovery_token_layers,g1,g2,l
6.64795830,133729.13781834,248,3704,2
6.64991174,133591.00510196,255,3688,2
6.65627333,133523.63671106,255,3684,2
6.66250084,133060.32455324,255,3680,2
6.68795940,132537.81312669,255,3664,2
6.70082191,132182.33163524,255,3656,2
6.72658872,132054.67552365,255,3640,2
6.73965150,131763.67651559,255,3632,2
6.76580492,131454.30296121,255,3616,2
6.77899656,131303.68984913,255,3608,2
6.79218995,130773.72160664,255,3600,2
6.80537463,130301.17214029,255,3592,2
6.81874739,130025.66522745,255,3584,2
6.83210621,129673.29400298,255,3576,2
6.85915126,129579.72173736,255,3560,2
6.86425377,129503.83596009,255,3557,2
6.87269817,129095.03955078,255,3552,2
6.88629209,129001.22903466,255,3544,2
6.90003753,128819.20305964,255,3536,2
6.91381082,128297.77598656,255,3528,2
6.93703732,128279.60186239,248,3528,2
6.94158207,128061.74450587,255,3512,2
6.95556260,127852.20059901,255,3504,2
6.96953094,127579.70901129,255,3496,2
6.98364383,127224.57566053,255,3488,2
6.99783682,127157.88699173,255,3480,2
7.01200543,126887.95936500,255,3472,2
7.02626634,126510.35833308,255,3464,2
7.04065611,126226.48904635,255,3456,2
7.05501977,126076.82822112,255,3448,2
7.06952623,125725.77561746,255,3440,2
7.08394909,125056.50016532,255,3432,2
7.12811803,124703.27152667,255,3408,2
7.15134453,124636.09235821,248,3408,2
7.15783276,124236.70804242,255,3392,2
7.17276065,123958.73707785,255,3384,2
7.18777736,123687.92471626,255,3376,2
7.20281844,123256.86199326,255,3368,2
7.23329419,122965.29961630,255,3352,2
7.24864526,122914.92937608,255,3344,2
7.26408515,122673.93665031,255,3336,2
7.27955115,122365.03973533,255,3328,2
7.29498756,121836.72322912,255,3320,2
7.31059288,121506.84912878,255,3312,2
7.32630792,121364.88120925,255,3304,2
7.32821831,121222.36948569,255,3303,2
7.34205604,121076.71711599,255,3296,2
7.35789298,120772.03489865,255,3288,2
7.37388492,120759.71170260,255,3280,2
7.38982809,120289.85902513,255,3272,2
7.40588445,120134.63656112,255,3264,2
7.42209233,119733.56897069,255,3256,2
7.43825492,119450.51706678,255,3248,2
7.45463172,119257.64865665,255,3240,2
7.47105728,118980.45951879,255,3232,2
7.48747064,118813.87673398,255,3224,2
7.50408428,118504.26874308,255,3216,2
7.52068224,118263.07697542,255,3208,2
7.53501079,113399.00455889,1398,4065,11
7.55257010,113125.64419484,1398,4048,11
7.56080581,112844.13589021,1398,4040,11
7.56921663,112625.19826718,1398,4032,11
7.57750060,112213.73356184,1398,4024,11
7.60287922,112115.23117810,1398,4000,11
7.61139759,111803.37866211,1398,3992,11
7.62855015,111755.78758804,1398,3976,11
7.63714297,111361.80124454,1398,3968,11
7.65452717,111070.15234567,1398,3952,11
7.66322203,110810.22667207,1398,3944,11
7.66323365,102340.57863395,1652,3811,13
7.68373629,102312.11874077,1648,3800,13
7.68412799,102203.63259335,1652,3792,13
7.68865372,102064.88161006,1640,3811,13
7.71041006,101576.86237389,1648,3776,13
7.71088966,101523.64529635,1652,3768,13
7.71933320,101467.66924520,1648,3768,13
7.71984770,101267.36887534,1652,3760,13
7.73798612,101011.54653282,1652,3744,13
7.74709669,100718.82895162,1652,3736,13
7.75621373,100618.61389256,1652,3728,13
7.75720165,92651.54218971,1906,3557,15
7.76095101,92520.82300862,1904,3557,15
7.77246953,92444.38223771,1906,3544,15
7.78199220,92201.14041931,1906,3536,15
7.79153417,91685.76771077,1906,3528,15
7.81077375,91541.92812846,1906,3512,15
7.81452311,91421.52863558,1904,3512,15
7.82901239,84023.25253416,2160,3303,17
7.83791425,83779.37015563,2160,3296,17
7.84255443,83633.20005210,2152,3303,17
7.86864615,83328.04735175,2160,3272,17
7.87897525,83244.19102178,2160,3264,17
7.88557987,83223.65251292,2144,3280,17
7.88569908,76362.23093973,2414,3049,19
7.89495521,76299.14913532,2408,3049,19
7.89635540,76272.76488681,2408,3048,19
7.89807850,76105.90266286,2414,3040,19
7.90733462,75966.22179503,2408,3040,19
7.92579739,72697.89845288,2541,2922,20
7.93161365,70396.44582193,2668,2795,21
7.93618368,69730.20198311,2668,2792,21
7.95311538,69561.30513349,2656,2792,21
7.97800328,69423.07079694,2664,2768,21
7.98933810,69393.39660741,2656,2768,21
8.00158360,69169.96636626,2656,2760,21
8.01389546,69106.48346764,2656,2752,21
8.02624333,69081.87366203,2656,2744,21
8.03431641,69030.25159556,2668,2728,21
8.03868221,68917.84530327,2656,2736,21
8.03991330,68776.23175289,2664,2728,21
8.04689179,68741.73449419,2668,2720,21
8.05248868,68707.13071328,2664,2720,21
8.05956197,68553.99922721,2668,2712,21
8.07649368,68386.32829417,2656,2712,21
8.08519334,68247.90301658,2668,2696,21
8.09806638,68025.29896269,2668,2688,21
8.11101999,67752.22400575,2668,2680,21
8.12964823,67147.50189930,2664,2672,21
8.14897761,65943.68634658,2656,2668,22
8.15505199,65479.97074926,2656,2664,22
8.20435050,65269.60742188,2640,2648,22
8.25424250,64995.07554134,2624,2632,22
8.27949976,64726.16751507,2616,2624,22
8.35591073,64534.84055118,2592,2600,22
8.38174831,64528.19593535,2584,2592,22
8.40772214,64390.17033711,2576,2584,22
8.43384107,64347.42083692,2568,2576,22
8.46011472,64217.21207554,2560,2568,22
8.48664069,63823.10543799,2552,2560,22
8.54506407,62723.11662617,2536,2541,22
8.54523495,61450.14494648,2536,2541,23
8.86130186,61449.35380014,2440,2456,23
8.86458503,61421.27666708,2416,2480,23
8.87620197,61356.32038939,2432,2456,23
8.89034697,61242.43213275,2432,2448,23
8.89237694,60974.25070743,2416,2464,23
8.90638061,60859.19623524,2416,2456,23
8.93473524,60646.10257751,2416,2440,23
8.94905432,60504.92196727,2416,2432,23
8.99672619,60303.52885665,2408,2414,23
8.99759808,59089.80131759,2408,2414,24
9.10140554,58722.72390963,2376,2392,24
9.14904749,58721.33152375,2360,2384,24
9.15253815,58438.28603285,2352,2392,24
9.16291364,58368.65060593,2360,2376,24
9.19397393,58082.35489973,2352,2368,24
9.28832704,58081.67559670,2328,2344,24
9.31332085,58015.81898991,2304,2360,24
9.32023129,58003.60139333,2320,2336,24
